=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.02 10:30:09 =~=~=~=~=~=~=~=~=~=~=~=
41,101,2.163,3.817,0.281,0.025,0.046,0.003,52.13
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1248,2.418,4.104,0.292,0.028,0.047,0.003,55.10
1258,2.388,4.057,0.291,0.033,0.052,0.003,55.13
1268,2.242,3.822,0.290,0.174,0.277,0.002,55.15
1278,2.388,4.059,0.291,0.176,0.287,0.004,55.18
1288,2.363,4.020,0.291,0.035,0.055,0.003,55.20
1298,2.309,3.937,0.290,0.054,0.083,0.002,55.23
1308,2.307,3.936,0.290,0.143,0.229,0.003,55.25
1318,2.325,3.966,0.290,0.133,0.213,0.003,55.28
1329,2.110,3.623,0.288,0.230,0.364,0.002,55.30
1339,2.375,4.052,0.290,0.289,0.470,0.005,55.33
1349,2.413,4.118,0.290,0.062,0.108,0.003,55.36
1359,2.421,4.133,0.290,0.032,0.056,0.003,55.38
1369,2.409,4.119,0.290,0.014,0.029,0.003,55.41
1379,2.415,4.133,0.289,0.031,0.057,0.003,55.43
1389,2.414,4.137,0.289,0.024,0.046,0.003,55.46
1399,2.414,4.139,0.289,0.024,0.044,0.003,55.48
1409,2.410,4.136,0.288,0.021,0.039,0.003,55.51
1419,2.412,4.140,0.288,0.027,0.046,0.003,55.53
1429,2.408,4.135,0.288,0.020,0.037,0.003,55.56
1439,2.408,4.136,0.288,0.024,0.042,0.003,55.58
1449,2.402,4.130,0.288,0.019,0.036,0.003,55.61
1459,2.387,4.105,0.288,0.011,0.018,0.003,55.63
1469,2.375,4.087,0.288,0.013,0.025,0.003,55.66
1479,2.371,4.081,0.288,0.021,0.036,0.003,55.68
1490,2.362,4.066,0.288,0.016,0.027,0.003,55.71
1500,2.351,4.048,0.288,0.014,0.024,0.003,55.73
1510,2.347,4.039,0.288,0.020,0.032,0.003,55.76
1520,2.341,4.028,0.288,0.018,0.030,0.003,55.78
1530,2.332,4.010,0.288,0.015,0.024,0.003,55.81
1540,2.323,3.994,0.288,0.015,0.025,0.003,55.83
1550,2.318,3.982,0.288,0.019,0.029,0.003,55.86
1560,2.304,3.960,0.288,0.010,0.019,0.003,55.88
1570,2.293,3.940,0.288,0.013,0.021,0.003,55.91
1580,2.291,3.936,0.288,0.021,0.035,0.003,55.93
1590,2.287,3.928,0.288,0.020,0.033,0.003,55.96
1600,2.291,3.935,0.288,0.028,0.047,0.003,55.98
1610,2.295,3.940,0.288,0.028,0.045,0.003,56.01
1620,2.298,3.943,0.289,0.026,0.043,0.003,56.03
1630,2.295,3.937,0.288,0.020,0.035,0.003,56.06
1640,2.296,3.939,0.288,0.024,0.041,0.003,56.08
1650,2.305,3.952,0.289,0.033,0.054,0.003,56.11
1661,2.313,3.965,0.289,0.032,0.053,0.003,56.13
1671,2.318,3.974,0.289,0.028,0.050,0.003,56.16
1681,2.321,3.979,0.289,0.026,0.045,0.003,56.18
1691,2.323,3.983,0.289,0.026,0.044,0.003,56.21
1701,2.326,3.990,0.289,0.026,0.047,0.003,56.23
1711,2.330,3.997,0.289,0.028,0.047,0.003,56.26
1721,2.333,4.002,0.289,0.026,0.046,0.003,56.28
1731,2.336,4.008,0.288,0.027,0.046,0.003,56.31
1741,2.339,4.014,0.288,0.027,0.047,0.003,56.33
1751,2.341,4.016,0.289,0.026,0.043,0.003,56.36
1761,2.339,4.014,0.288,0.022,0.039,0.003,56.38
1771,2.335,4.007,0.288,0.020,0.034,0.003,56.40
1781,2.328,3.993,0.289,0.017,0.027,0.003,56.43
1791,2.323,3.985,0.289,0.019,0.033,0.003,56.45
1801,2.323,3.984,0.289,0.024,0.039,0.003,56.48
1811,2.327,3.990,0.289,0.028,0.046,0.003,56.50
1822,2.332,3.994,0.289,0.029,0.045,0.003,56.53
1832,2.333,3.994,0.289,0.025,0.041,0.003,56.55
1842,2.333,3.992,0.289,0.024,0.039,0.003,56.58
1852,2.333,3.989,0.290,0.023,0.038,0.003,56.60
1862,2.332,3.985,0.290,0.022,0.037,0.003,56.63
1872,2.333,3.986,0.290,0.025,0.041,0.003,56.65
1882,2.330,3.979,0.290,0.021,0.035,0.003,56.68
1892,2.328,3.975,0.290,0.022,0.036,0.003,56.70
1902,2.326,3.970,0.290,0.022,0.036,0.003,56.73
1912,2.324,3.965,0.290,0.022,0.036,0.003,56.75
1922,2.325,3.963,0.290,0.025,0.039,0.003,56.77
1932,2.323,3.958,0.290,0.021,0.035,0.003,56.80
1942,2.321,3.955,0.290,0.022,0.037,0.003,56.82
1952,2.318,3.952,0.290,0.021,0.037,0.003,56.85
1962,2.318,3.949,0.290,0.023,0.038,0.003,56.87
1972,2.316,3.948,0.290,0.022,0.038,0.003,56.90
1982,2.314,3.943,0.290,0.021,0.035,0.003,56.92
1993,2.311,3.938,0.291,0.021,0.035,0.003,56.94
2003,2.311,3.938,0.291,0.023,0.040,0.003,56.97
2013,2.307,3.930,0.291,0.020,0.032,0.003,57.00
2023,2.305,3.924,0.291,0.021,0.034,0.003,57.02
2033,2.304,3.921,0.291,0.022,0.037,0.003,57.04
2043,2.299,3.914,0.291,0.019,0.034,0.003,57.07
2053,2.296,3.907,0.291,0.021,0.034,0.003,57.09
2063,2.293,3.902,0.291,0.021,0.035,0.003,57.11
2073,2.292,3.900,0.291,0.022,0.037,0.003,57.14
2083,2.292,3.897,0.291,0.023,0.037,0.003,57.16
2093,2.287,3.889,0.291,0.019,0.032,0.003,57.19
2103,2.282,3.880,0.291,0.019,0.030,0.003,57.21
2113,2.279,3.875,0.291,0.020,0.034,0.003,57.24
2123,2.280,3.876,0.291,0.024,0.041,0.003,57.26
2133,2.277,3.870,0.291,0.021,0.034,0.003,57.28
2143,2.273,3.864,0.291,0.019,0.033,0.003,57.31
2154,2.270,3.860,0.291,0.020,0.035,0.003,57.33
2164,2.265,3.855,0.291,0.018,0.034,0.003,57.36
2174,2.260,3.847,0.291,0.019,0.032,0.003,57.38
2184,2.258,3.844,0.291,0.021,0.036,0.003,57.41
2194,2.255,3.841,0.291,0.020,0.036,0.003,57.43
2204,2.254,3.842,0.290,0.024,0.041,0.003,57.45
2214,2.255,3.848,0.290,0.024,0.045,0.003,57.48
2224,2.259,3.854,0.290,0.026,0.045,0.003,57.50
2234,2.257,3.855,0.290,0.022,0.041,0.003,57.53
2244,2.256,3.855,0.290,0.021,0.039,0.003,57.55
2254,2.247,3.845,0.289,0.015,0.030,0.003,57.57
2264,2.241,3.837,0.289,0.017,0.031,0.003,57.60
2274,2.241,3.838,0.289,0.022,0.040,0.003,57.62
2284,2.238,3.835,0.289,0.020,0.036,0.003,57.64
2294,2.234,3.832,0.289,0.019,0.036,0.003,57.67
2304,2.235,3.837,0.288,0.024,0.043,0.003,57.69
2314,2.236,3.840,0.288,0.023,0.042,0.003,57.72
2325,2.234,3.839,0.288,0.021,0.038,0.003,57.74
2335,2.226,3.831,0.288,0.016,0.031,0.003,57.77
2345,2.220,3.822,0.287,0.017,0.032,0.003,57.79
2355,2.212,3.811,0.287,0.015,0.028,0.003,57.81
2365,2.204,3.801,0.287,0.015,0.030,0.003,57.84
2375,2.197,3.793,0.287,0.016,0.031,0.003,57.86
2385,2.196,3.792,0.287,0.021,0.038,0.003,57.88
2395,2.194,3.790,0.287,0.020,0.036,0.003,57.91
2405,2.192,3.789,0.286,0.020,0.038,0.003,57.93
2415,2.195,3.798,0.286,0.026,0.048,0.003,57.95
2425,2.198,3.804,0.286,0.025,0.045,0.003,57.98
2435,2.199,3.807,0.286,0.023,0.041,0.003,58.00
2445,2.199,3.807,0.286,0.023,0.039,0.003,58.03
2455,2.198,3.808,0.286,0.021,0.041,0.003,58.05
2465,2.193,3.806,0.285,0.018,0.036,0.003,58.07
2475,2.192,3.805,0.285,0.021,0.038,0.003,58.10
2486,2.187,3.798,0.285,0.018,0.032,0.003,58.12
2496,2.184,3.795,0.285,0.019,0.036,0.003,58.14
2506,2.179,3.791,0.285,0.018,0.034,0.003,58.17
2516,2.180,3.795,0.284,0.023,0.043,0.003,58.19
2526,2.184,3.802,0.284,0.026,0.046,0.003,58.22
2536,2.188,3.810,0.284,0.027,0.047,0.003,58.24
2546,2.195,3.823,0.284,0.029,0.051,0.003,58.26
2556,2.194,3.823,0.284,0.021,0.039,0.003,58.28
2566,2.194,3.825,0.284,0.023,0.041,0.003,58.31
2576,2.189,3.818,0.284,0.018,0.032,0.003,58.33
2586,2.185,3.811,0.284,0.018,0.032,0.003,58.35
2596,2.180,3.803,0.284,0.017,0.031,0.003,58.38
2606,2.168,3.785,0.283,0.011,0.022,0.003,58.40
2616,2.162,3.775,0.283,0.016,0.029,0.003,58.42
2626,2.157,3.769,0.283,0.017,0.033,0.003,58.45
2636,2.157,3.771,0.283,0.023,0.040,0.003,58.47
2646,2.161,3.779,0.283,0.026,0.046,0.003,58.49
2657,2.166,3.787,0.283,0.026,0.047,0.003,58.52
2667,2.168,3.793,0.283,0.024,0.044,0.003,58.54
2677,2.167,3.794,0.283,0.021,0.040,0.003,58.57
2687,2.168,3.795,0.283,0.023,0.040,0.003,58.59
2697,2.165,3.792,0.283,0.019,0.035,0.003,58.61
2707,2.165,3.792,0.283,0.022,0.039,0.003,58.63
2717,2.164,3.789,0.283,0.020,0.036,0.003,58.66
2727,2.163,3.788,0.283,0.021,0.037,0.003,58.68
2737,2.165,3.792,0.283,0.024,0.042,0.003,58.70
2747,2.169,3.801,0.282,0.026,0.047,0.003,58.73
2757,2.169,3.802,0.282,0.022,0.040,0.003,58.75
2767,2.166,3.797,0.282,0.019,0.034,0.003,58.77
2777,2.160,3.790,0.282,0.016,0.031,0.003,58.80
2787,2.156,3.785,0.282,0.018,0.033,0.003,58.82
2797,2.151,3.781,0.282,0.017,0.035,0.003,58.84
2807,2.152,3.780,0.282,0.023,0.038,0.003,58.86
2817,2.153,3.782,0.282,0.023,0.040,0.003,58.89
2828,2.155,3.786,0.282,0.024,0.043,0.003,58.91
2838,2.155,3.789,0.282,0.022,0.041,0.003,58.94
2848,2.151,3.783,0.281,0.018,0.033,0.003,58.96
2858,2.145,3.772,0.281,0.015,0.028,0.003,58.98
2868,2.143,3.772,0.281,0.020,0.038,0.003,59.00
2878,2.143,3.772,0.281,0.021,0.038,0.003,59.03
2888,2.143,3.773,0.281,0.022,0.039,0.003,59.05
2898,2.142,3.774,0.281,0.021,0.040,0.003,59.07
2908,2.139,3.773,0.281,0.019,0.037,0.003,59.09
2918,2.137,3.770,0.281,0.020,0.035,0.003,59.12
2928,2.138,3.773,0.280,0.023,0.041,0.003,59.14
2938,2.140,3.776,0.280,0.023,0.041,0.003,59.16
2948,2.140,3.777,0.280,0.023,0.040,0.003,59.19
2958,2.141,3.778,0.280,0.022,0.039,0.003,59.21
2968,2.142,3.781,0.280,0.023,0.041,0.003,59.23
2978,2.143,3.782,0.281,0.023,0.039,0.003,59.25
2989,2.143,3.781,0.281,0.021,0.037,0.003,59.27
2999,2.131,3.757,0.281,0.014,0.031,0.003,59.30
3009,2.172,3.704,0.290,0.099,0.085,0.013,59.32
3019,2.376,3.894,0.302,0.234,0.233,0.015,59.34
3029,2.556,4.151,0.305,0.223,0.347,0.007,59.37
3039,2.661,4.366,0.302,0.133,0.259,0.002,59.39
3049,2.751,4.436,0.307,0.119,0.126,0.009,59.41
3059,2.824,4.486,0.312,0.109,0.096,0.009,59.43
3069,2.854,4.486,0.315,0.058,0.045,0.006,59.46
3079,2.851,4.482,0.315,0.026,0.042,0.003,59.48
3089,2.849,4.477,0.315,0.027,0.040,0.003,59.50
3099,2.848,4.473,0.315,0.028,0.042,0.003,59.52
3109,2.846,4.471,0.315,0.029,0.043,0.003,59.55
3119,2.845,4.470,0.315,0.028,0.044,0.003,59.57
3129,2.844,4.471,0.315,0.027,0.047,0.003,59.59
3139,2.845,4.473,0.315,0.030,0.047,0.003,59.61
3149,2.842,4.475,0.314,0.027,0.048,0.003,59.63
3160,2.844,4.482,0.314,0.031,0.052,0.003,59.66
3170,2.846,4.489,0.314,0.031,0.053,0.003,59.68
3180,2.848,4.499,0.313,0.030,0.055,0.003,59.70
3190,2.850,4.511,0.313,0.031,0.058,0.003,59.73
3200,2.848,4.522,0.312,0.027,0.057,0.002,59.75
3210,2.849,4.535,0.311,0.030,0.059,0.002,59.77
3220,2.849,4.551,0.310,0.029,0.062,0.002,59.79
3230,2.850,4.566,0.309,0.030,0.061,0.002,59.81
3240,2.846,4.571,0.308,0.025,0.051,0.002,59.84
3250,2.841,4.573,0.308,0.024,0.048,0.002,59.86
3260,2.837,4.581,0.307,0.025,0.055,0.002,59.88
3270,2.835,4.589,0.306,0.027,0.054,0.002,59.90
3280,2.833,4.595,0.305,0.026,0.052,0.002,59.92
3290,2.829,4.596,0.305,0.025,0.048,0.003,59.95
3300,2.823,4.595,0.304,0.023,0.045,0.003,59.97
3310,2.822,4.597,0.304,0.027,0.048,0.003,59.99
3321,2.821,4.597,0.304,0.028,0.047,0.003,60.01
3331,2.821,4.599,0.304,0.028,0.048,0.003,60.04
3341,2.818,4.594,0.304,0.026,0.042,0.003,60.06
3351,2.809,4.584,0.303,0.019,0.036,0.003,60.08
3361,2.801,4.573,0.303,0.021,0.036,0.003,60.10
3371,2.799,4.572,0.303,0.027,0.045,0.003,60.12
3381,2.802,4.578,0.303,0.031,0.052,0.003,60.14
3391,2.803,4.583,0.303,0.030,0.051,0.003,60.17
3401,2.801,4.582,0.303,0.026,0.045,0.003,60.19
3411,2.796,4.578,0.302,0.024,0.043,0.003,60.21
3421,2.793,4.574,0.302,0.025,0.042,0.003,60.23
3431,2.792,4.575,0.302,0.027,0.048,0.003,60.25
3441,2.793,4.578,0.302,0.029,0.050,0.003,60.27
3451,2.782,4.562,0.302,0.017,0.030,0.003,60.30
3461,2.773,4.550,0.302,0.020,0.034,0.003,60.32
3471,2.771,4.547,0.302,0.026,0.043,0.003,60.34
3481,2.776,4.554,0.302,0.033,0.052,0.003,60.36
3492,2.779,4.558,0.302,0.031,0.050,0.003,60.38
3502,2.778,4.556,0.302,0.028,0.044,0.003,60.41
3512,2.786,4.569,0.302,0.036,0.059,0.003,60.43
3522,2.793,4.582,0.302,0.035,0.059,0.003,60.45
3532,2.795,4.585,0.302,0.030,0.050,0.003,60.47
3542,2.786,4.571,0.302,0.020,0.033,0.003,60.49
3552,2.784,4.572,0.301,0.026,0.047,0.003,60.51
3562,2.779,4.566,0.301,0.023,0.040,0.003,60.53
3572,2.781,4.568,0.301,0.030,0.049,0.003,60.56
3582,2.785,4.576,0.301,0.032,0.054,0.003,60.58
3592,2.784,4.577,0.301,0.028,0.047,0.003,60.60
3602,2.782,4.572,0.301,0.027,0.043,0.003,60.62
3612,2.785,4.573,0.301,0.031,0.048,0.003,60.64
3622,2.783,4.571,0.301,0.027,0.044,0.003,60.66
3632,2.785,4.570,0.302,0.030,0.046,0.003,60.68
3642,2.783,4.565,0.302,0.026,0.042,0.003,60.70
3653,2.786,4.569,0.302,0.031,0.050,0.003,60.72
3663,2.778,4.553,0.302,0.021,0.031,0.003,60.75
3673,2.776,4.547,0.302,0.027,0.041,0.003,60.77
3683,2.784,4.560,0.302,0.036,0.060,0.003,60.79
3693,2.789,4.563,0.303,0.033,0.049,0.003,60.81
3703,2.790,4.564,0.303,0.029,0.047,0.003,60.83
3713,2.779,4.547,0.303,0.019,0.032,0.003,60.85
3723,2.768,4.527,0.303,0.017,0.027,0.003,60.87
3733,2.775,4.534,0.303,0.035,0.053,0.003,60.89
3743,2.766,4.519,0.303,0.020,0.032,0.003,60.92
3753,2.768,4.524,0.303,0.030,0.050,0.003,60.94
3763,2.777,4.537,0.303,0.036,0.059,0.003,60.96
3773,2.772,4.533,0.303,0.023,0.043,0.003,60.98
3783,2.778,4.544,0.303,0.034,0.057,0.003,61.00
3793,2.779,4.549,0.302,0.029,0.051,0.003,61.02
3803,2.780,4.554,0.302,0.029,0.050,0.003,61.04
3813,2.782,4.561,0.302,0.031,0.053,0.003,61.06
3824,2.781,4.559,0.302,0.027,0.045,0.003,61.08
3834,2.775,4.552,0.302,0.024,0.040,0.003,61.11
3844,2.772,4.547,0.302,0.025,0.041,0.003,61.13
3854,2.775,4.553,0.302,0.033,0.052,0.003,61.15
3864,2.776,4.552,0.302,0.030,0.045,0.003,61.17
3874,2.777,4.550,0.302,0.029,0.044,0.003,61.19
3884,2.768,4.536,0.302,0.020,0.033,0.003,61.21
3894,2.765,4.528,0.302,0.025,0.038,0.003,61.23
3904,2.772,4.538,0.302,0.035,0.055,0.003,61.25
3914,2.772,4.529,0.303,0.034,0.062,0.004,61.27
3924,2.732,4.452,0.304,0.033,0.090,0.005,61.29
3934,2.758,4.531,0.301,0.054,0.125,0.001,61.31
3944,2.761,4.537,0.301,0.032,0.051,0.003,61.33
3954,2.763,4.542,0.301,0.030,0.051,0.003,61.35
3964,2.769,4.552,0.301,0.034,0.057,0.003,61.37
3974,2.776,4.563,0.301,0.035,0.057,0.003,61.39
3985,2.777,4.566,0.301,0.029,0.049,0.003,61.41
3995,2.778,4.564,0.301,0.029,0.044,0.003,61.43
4005,2.774,4.558,0.301,0.025,0.041,0.003,61.46
4015,2.774,4.557,0.301,0.028,0.045,0.003,61.48
4025,2.773,4.554,0.301,0.027,0.043,0.003,61.50
4035,2.771,4.552,0.301,0.027,0.045,0.003,61.52
4045,2.771,4.551,0.301,0.027,0.046,0.003,61.54
4055,2.766,4.544,0.301,0.024,0.039,0.003,61.56
4065,2.758,4.530,0.301,0.020,0.033,0.003,61.58
4075,2.756,4.525,0.301,0.026,0.041,0.003,61.60
4085,2.765,4.540,0.301,0.037,0.061,0.003,61.62
4095,2.772,4.551,0.301,0.035,0.058,0.003,61.64
4105,2.774,4.553,0.302,0.031,0.048,0.003,61.66
4115,2.783,4.567,0.302,0.038,0.059,0.003,61.68
4125,2.796,4.587,0.302,0.041,0.068,0.003,61.70
4135,2.816,4.616,0.302,0.049,0.075,0.003,61.72
4145,2.697,4.431,0.301,0.162,0.247,0.003,61.74
4156,2.459,4.066,0.299,0.213,0.324,0.001,61.76
4166,2.448,4.047,0.299,0.081,0.122,0.003,61.78
4176,2.570,4.234,0.300,0.171,0.264,0.004,61.80
4186,2.704,4.439,0.302,0.180,0.277,0.004,61.82
4196,2.759,4.521,0.302,0.108,0.167,0.004,61.84
4206,2.272,3.776,0.298,0.483,0.736,0.002,61.86
4216,2.405,3.979,0.299,0.229,0.352,0.005,61.88
4226,2.823,4.616,0.303,0.446,0.682,0.007,61.90
4236,2.862,4.674,0.303,0.067,0.105,0.003,61.92
4246,2.866,4.680,0.303,0.033,0.053,0.003,61.94
4256,2.864,4.675,0.303,0.027,0.043,0.003,61.96
4266,2.849,4.640,0.304,0.025,0.054,0.004,61.98
4276,2.818,4.509,0.309,0.013,0.091,0.009,62.00
4286,2.869,4.674,0.304,0.081,0.216,0.003,62.02
4296,2.875,4.704,0.303,0.035,0.078,0.002,62.04
4306,2.877,4.713,0.302,0.031,0.057,0.003,62.05
4316,2.855,4.683,0.302,0.047,0.074,0.003,62.07
4327,2.796,4.597,0.301,0.039,0.054,0.002,62.09
4337,2.847,4.678,0.301,0.079,0.128,0.003,62.11
4347,2.859,4.698,0.301,0.041,0.068,0.003,62.13
4357,2.872,4.715,0.302,0.042,0.064,0.003,62.15
4367,2.903,4.761,0.302,0.062,0.097,0.003,62.17
4377,2.583,4.263,0.300,0.437,0.673,0.003,62.19
4387,2.669,4.392,0.301,0.277,0.425,0.005,62.21
4397,2.842,4.653,0.302,0.206,0.316,0.005,62.23
4407,2.848,4.651,0.303,0.117,0.176,0.004,62.25
4417,2.804,4.575,0.303,0.252,0.392,0.004,62.27
4427,1.565,2.664,0.289,1.266,1.950,0.013,62.29
4437,0.812,1.509,0.262,0.778,1.189,0.030,62.31
4447,0.381,0.856,0.220,0.425,0.642,0.040,62.33
4457,0.347,0.800,0.215,0.031,0.048,0.004,62.35
4467,0.333,0.775,0.213,0.011,0.019,0.002,62.37
4477,0.322,0.756,0.211,0.008,0.012,0.001,62.38
